;egg;temp;loc;r_egg;year;DT
51B21;48.00;21.00;Bestvi;0.020833333;2012;1008.0000000000000
52B21;48.00;21.00;Bestvi;0.020833333;2012;1008.0000000000000
53B21;48.00;21.00;Bestvi;0.020833333;2012;1008.0000000000000
54B21;48.00;21.00;Bestvi;0.020833333;2012;1008.0000000000000
55B21;48.00;21.00;Bestvi;0.020833333;2012;1008.0000000000000
56B21;48.00;21.00;Bestvi;0.020833333;2012;1008.0000000000000
66P15;48.00;15.00;Praha;0.020833333;2012;720.0000000000000
67P15;48.00;15.00;Praha;0.020833333;2012;720.0000000000000
PSW2504001;57.00;25.00;Praha;0.01754386;2013;1425.0000000000000
102B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
103B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
104B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
105B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
106B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
107B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
108B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
109B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
110B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
111B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
112B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
113B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
114B25;72.00;25.00;Bestvi;0.013888889;2012;1800.0000000000000
127P21;72.00;21.00;Praha;0.013888889;2012;1512.0000000000000
128P21;72.00;21.00;Praha;0.013888889;2012;1512.0000000000000
129P21;72.00;21.00;Praha;0.013888889;2012;1512.0000000000000
130P21;72.00;21.00;Praha;0.013888889;2012;1512.0000000000000
131P21;72.00;21.00;Praha;0.013888889;2012;1512.0000000000000
1B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
20B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
21B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
22B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
23B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
24B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
25B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
26B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
27B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
28B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
29B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
2B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
30B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
31B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
32B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
33B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
34B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
35B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
36B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
37B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
38B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
39B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
3B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
40B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
4B15;72.00;15.00;Bestvi;0.013888889;2012;1080.0000000000000
71B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
72B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
73B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
74B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
75B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
76B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
77B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
78B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
79B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
80B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
81B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
82B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
83B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
84B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
85B21;72.00;21.00;Bestvi;0.013888889;2012;1512.0000000000000
BSW21019;80.00;21.00;Bestvi;0.0125;2013;1680.0000000000000
BSW21020;80.00;21.00;Bestvi;0.0125;2013;1680.0000000000000
BSW21021;80.00;21.00;Bestvi;0.0125;2013;1680.0000000000000
BSW21009;82.5;21.00;Bestvi;0.012121212;2013;1732.5000000000000
BSW21010;82.5;21.00;Bestvi;0.012121212;2013;1732.5000000000000
BSW21011;82.5;21.00;Bestvi;0.012121212;2013;1732.5000000000000
BSW21013;83.25;21.00;Bestvi;0.012012012;2013;1748.2500000000000
BSW21015;83.25;21.00;Bestvi;0.012012012;2013;1748.2500000000000
PSW21023;83.25;21.00;Praha;0.012012012;2013;1748.2500000000000
BSW21005002;83.5;21.00;Bestvi;0.011976048;2013;1753.5000000000000
PSW21008;85.00;21.00;Praha;0.011764706;2013;1785.0000000000000
PSW21009;85.00;21.00;Praha;0.011764706;2013;1785.0000000000000
BSW21022;85.5;21.00;Bestvi;0.011695906;2013;1795.5000000000000
PSW21071;86.00;21.00;Praha;0.011627907;2013;1806.0000000000000
PSW21072;86.00;21.00;Praha;0.011627907;2013;1806.0000000000000
PSW21026;86.375;21.00;Praha;0.011577424;2013;1813.8750000000000
PSW21030;87.00;21.00;Praha;0.011494253;2013;1827.0000000000000
PSW21031;87.00;21.00;Praha;0.011494253;2013;1827.0000000000000
PSW21032;87.00;21.00;Praha;0.011494253;2013;1827.0000000000000
PSW21044;88.00;21.00;Praha;0.011363636;2013;1848.0000000000000
BSW21030;88.5;21.00;Bestvi;0.011299435;2013;1858.5000000000000
BSW21031;88.5;21.00;Bestvi;0.011299435;2013;1858.5000000000000
PSW21045;88.5;21.00;Praha;0.011299435;2013;1858.5000000000000
PSW21046;88.5;21.00;Praha;0.011299435;2013;1858.5000000000000
PSW21047;88.5;21.00;Praha;0.011299435;2013;1858.5000000000000
PSW21048;88.5;21.00;Praha;0.011299435;2013;1858.5000000000000
PSW21049;88.5;21.00;Praha;0.011299435;2013;1858.5000000000000
11P15;96.00;15.00;Praha;0.010416667;2012;1440.0000000000000
133B15;96.00;15.00;Bestvi;0.010416667;2012;1440.0000000000000
134B15;96.00;15.00;Bestvi;0.010416667;2012;1440.0000000000000
135R15;96.00;15.00;Praha;0.010416667;2012;1440.0000000000000
138P15;96.00;15.00;Praha;0.010416667;2012;1440.0000000000000
139P15;96.00;15.00;Praha;0.010416667;2012;1440.0000000000000
5B15;96.00;15.00;Bestvi;0.010416667;2012;1440.0000000000000
6B15;96.00;15.00;Bestvi;0.010416667;2012;1440.0000000000000
7B15;96.00;15.00;Bestvi;0.010416667;2012;1440.0000000000000
8B15;96.00;15.00;Bestvi;0.010416667;2012;1440.0000000000000
9B15;96.00;15.00;Bestvi;0.010416667;2012;1440.0000000000000
DSW18022;105.5;18.00;Domazlice;0.009478673;2013;1899.0000000000000
DSW18023;105.5;18.00;Domazlice;0.009478673;2013;1899.0000000000000
KSW18007;105.5;18.00;Klatovy;0.009478673;2013;1899.0000000000000
PSW21036;105.5;21.00;Praha;0.009478673;2013;2215.5000000000000
PSW21037;105.5;21.00;Praha;0.009478673;2013;2215.5000000000000
PSW21038;105.5;21.00;Praha;0.009478673;2013;2215.5000000000000
DSW18003;106.00;18.00;Domazlice;0.009433962;2013;1908.0000000000000
BSW18003;106.5;18.00;Bestvi;0.009389671;2013;1917.0000000000000
BSW21018;106.5;21.00;Bestvi;0.009389671;2013;2236.5000000000000
PSW18011;106.5;18.00;Praha;0.009389671;2013;1917.0000000000000
PSW21024;106.5;21.00;Praha;0.009389671;2013;2236.5000000000000
PSW21059;106.5;21.00;Praha;0.009389671;2013;2236.5000000000000
PSW21060;106.5;21.00;Praha;0.009389671;2013;2236.5000000000000
PSW21061;106.5;21.00;Praha;0.009389671;2013;2236.5000000000000
PSW21062;106.5;21.00;Praha;0.009389671;2013;2236.5000000000000
PSW21063;106.5;21.00;Praha;0.009389671;2013;2236.5000000000000
PSW21064;106.5;21.00;Praha;0.009389671;2013;2236.5000000000000
PSW21065;106.5;21.00;Praha;0.009389671;2013;2236.5000000000000
BSW21007;107.00;21.00;Bestvi;0.009345794;2013;2247.0000000000000
BSW21012;107.00;21.00;Bestvi;0.009345794;2013;2247.0000000000000
BSW21023;107.00;21.00;Bestvi;0.009345794;2013;2247.0000000000000
BSW21024;107.00;21.00;Bestvi;0.009345794;2013;2247.0000000000000
BSW21025;107.00;21.00;Bestvi;0.009345794;2013;2247.0000000000000
BSW21026;107.00;21.00;Bestvi;0.009345794;2013;2247.0000000000000
BSW21027;107.00;21.00;Bestvi;0.009345794;2013;2247.0000000000000
BSW21028;107.00;21.00;Bestvi;0.009345794;2013;2247.0000000000000
PSW21020;107.00;21.00;Praha;0.009345794;2013;2247.0000000000000
PSW21022;107.00;21.00;Praha;0.009345794;2013;2247.0000000000000
BSW21008;107.0000007;21.00;Bestvi;0.009345794;2013;2247.0000147000000
PSW21015;107.0000007;21.00;Praha;0.009345794;2013;2247.0000147000000
PSW21016;107.0000007;21.00;Praha;0.009345794;2013;2247.0000147000000
PSW21017;107.0000007;21.00;Praha;0.009345794;2013;2247.0000147000000
PSW21018;107.0000007;21.00;Praha;0.009345794;2013;2247.0000147000000
PSW21010;108.00;21.00;Praha;0.009259259;2013;2268.0000000000000
PSW21011;108.00;21.00;Praha;0.009259259;2013;2268.0000000000000
PSW21001;108.5;21.00;Praha;0.00921659;2013;2278.5000000000000
PSW21002;108.5;21.00;Praha;0.00921659;2013;2278.5000000000000
PSW21003;108.5;21.00;Praha;0.00921659;2013;2278.5000000000000
PSW21004;108.5;21.00;Praha;0.00921659;2013;2278.5000000000000
BSW18035;109.00;18.00;Bestvi;0.009174312;2013;1962.0000000000000
BSW2100?;109.00;21.00;Bestvi;0.009174312;2013;2289.0000000000000
DSW18027;109.00;18.00;Domazlice;0.009174312;2013;1962.0000000000000
PSW21066;109.00;21.00;Praha;0.009174312;2013;2289.0000000000000
PSW21067;109.00;21.00;Praha;0.009174312;2013;2289.0000000000000
PSW21068;109.00;21.00;Praha;0.009174312;2013;2289.0000000000000
PSW21069;109.00;21.00;Praha;0.009174312;2013;2289.0000000000000
PSW21070;109.00;21.00;Praha;0.009174312;2013;2289.0000000000000
PSW21040;109.5;21.00;Praha;0.00913242;2013;2299.5000000000000
BSW18026;109.5000007;18.00;Bestvi;0.00913242;2013;1971.0000126000000
DSW18024;109.5000007;18.00;Domazlice;0.00913242;2013;1971.0000126000000
PSW21041;109.5000007;21.00;Praha;0.00913242;2013;2299.5000147000000
PSW21042;109.5000007;21.00;Praha;0.00913242;2013;2299.5000147000000
PSW21043;109.5000007;21.00;Praha;0.00913242;2013;2299.5000147000000
DSW18016;111.25;18.00;Domazlice;0.008988764;2013;2002.5000000000000
DSW18017;111.25;18.00;Domazlice;0.008988764;2013;2002.5000000000000
PSW18017;111.25;18.00;Praha;0.008988764;2013;2002.5000000000000
PSW18018;111.25;18.00;Praha;0.008988764;2013;2002.5000000000000
PSW21033;111.25;21.00;Praha;0.008988764;2013;2336.2500000000000
PSW21027;111.875;21.00;Praha;0.008938547;2013;2349.3750000000000
PSW21028;111.8750007;21.00;Praha;0.008938547;2013;2349.3750147000000
BSW18028;112.5;18.00;Bestvi;0.008888889;2013;2025.0000000000000
BSW18029;112.5;18.00;Bestvi;0.008888889;2013;2025.0000000000000
BSW21032;112.5;21.00;Bestvi;0.008888889;2013;2362.5000000000000
DSW18026;112.5;18.00;Domazlice;0.008888889;2013;2025.0000000000000
PSW21057;112.5;21.00;Praha;0.008888889;2013;2362.5000000000000
PSW21058;112.5;21.00;Praha;0.008888889;2013;2362.5000000000000
BSW21029;113.00;21.00;Bestvi;0.008849558;2013;2373.0000000000000
BSW18027;113.0000007;18.00;Bestvi;0.008849557;2013;2034.0000126000000
DSW18025;113.0000007;18.00;Domazlice;0.008849557;2013;2034.0000126000000
PSW18031;113.0000007;18.00;Praha;0.008849557;2013;2034.0000126000000
PSW21050;113.0000007;21.00;Praha;0.008849557;2013;2373.0000147000000
PSW21051;113.0000007;21.00;Praha;0.008849557;2013;2373.0000147000000
PSW21052;113.0000007;21.00;Praha;0.008849557;2013;2373.0000147000000
PSW21053;113.0000007;21.00;Praha;0.008849557;2013;2373.0000147000000
PSW21054;113.0000007;21.00;Praha;0.008849557;2013;2373.0000147000000
PSW21055;113.0000007;21.00;Praha;0.008849557;2013;2373.0000147000000
PSW21056;113.0000007;21.00;Praha;0.008849557;2013;2373.0000147000000
BSW18007;113.75;18.00;Bestvi;0.008791209;2013;2047.5000000000000
PSW21029;113.75;21.00;Praha;0.008791209;2013;2388.7500000000000
BSW18009;113.7500007;18.00;Bestvi;0.008791209;2013;2047.5000126000000
BSW18005;131.25;18.00;Bestvi;0.007619048;2013;2362.5000000000000
DSW18012;131.25;18.00;Domazlice;0.007619048;2013;2362.5000000000000
PSW18013;131.25;18.00;Praha;0.007619048;2013;2362.5000000000000
PSW18014;131.25;18.00;Praha;0.007619048;2013;2362.5000000000000
PSW18015;131.25;18.00;Praha;0.007619048;2013;2362.5000000000000
PSW18006;131.5;18.00;Praha;0.007604563;2013;2367.0000000000000
PSW18008;131.5;18.00;Praha;0.007604563;2013;2367.0000000000000
PSW21014;131.5;21.00;Praha;0.007604563;2013;2761.5000000000000
KSW18003;131.5000007;18.00;Klatovy;0.007604563;2013;2367.0000126000000
PSW18030;131.75;18.00;Praha;0.007590133;2013;2371.5000000000000
BSW21004002;132.00;21.00;Bestvi;0.007575758;2013;2772.0000000000000
BSW21004003;132.00;21.00;Bestvi;0.007575758;2013;2772.0000000000000
BSW21004004;132.00;21.00;Bestvi;0.007575758;2013;2772.0000000000000
BSW21004005;132.00;21.00;Bestvi;0.007575758;2013;2772.0000000000000
PSW21005;132.00;21.00;Praha;0.007575758;2013;2772.0000000000000
PSW21006;132.00;21.00;Praha;0.007575758;2013;2772.0000000000000
BSW18032;132.5;18.00;Bestvi;0.00754717;2013;2385.0000000000000
KSW18009;132.5;18.00;Klatovy;0.00754717;2013;2385.0000000000000
PSW18032;132.5;18.00;Praha;0.00754717;2013;2385.0000000000000
PSW18033;132.5;18.00;Praha;0.00754717;2013;2385.0000000000000
PSW18034;132.5;18.00;Praha;0.00754717;2013;2385.0000000000000
BSW18001;133.00;18.00;Bestvi;0.007518797;2013;2394.0000000000000
BSW18038;133.00;18.00;Bestvi;0.007518797;2013;2394.0000000000000
BSW21001001;133.00;21.00;Bestvi;0.007518797;2013;2793.0000000000000
DSW18007;133.00;18.00;Domazlice;0.007518797;2013;2394.0000000000000
KSW18011;133.00;18.00;Klatovy;0.007518797;2013;2394.0000000000000
PSW18003;133.00;18.00;Praha;0.007518797;2013;2394.0000000000000
PSW18005;133.00;18.00;Praha;0.007518797;2013;2394.0000000000000
PSW18039;133.00;18.00;Praha;0.007518797;2013;2394.0000000000000
BSW18036;134.5;18.00;Bestvi;0.007434944;2013;2421.0000000000000
BSW18037;134.5;18.00;Bestvi;0.007434944;2013;2421.0000000000000
DSW18028;134.5;18.00;Domazlice;0.007434944;2013;2421.0000000000000
KSW18010;134.5;18.00;Klatovy;0.007434944;2013;2421.0000000000000
PSW18035;134.5;18.00;Praha;0.007434944;2013;2421.0000000000000
PSW18036;134.5;18.00;Praha;0.007434944;2013;2421.0000000000000
PSW18037;134.5;18.00;Praha;0.007434944;2013;2421.0000000000000
PSW18038;134.5;18.00;Praha;0.007434944;2013;2421.0000000000000
BSW18006;135.875;18.00;Bestvi;0.007359706;2013;2445.7500000000000
BSW18030;137.0000007;18.00;Bestvi;0.00729927;2013;2466.0000126000000
BSW18031;137.0000007;18.00;Bestvi;0.00729927;2013;2466.0000126000000
BSW18014;137.7500007;18.00;Bestvi;0.007259528;2013;2479.5000126000000
BSW18015;137.7500007;18.00;Bestvi;0.007259528;2013;2479.5000126000000
BSW18016;137.7500007;18.00;Bestvi;0.007259528;2013;2479.5000126000000
BSW18017;137.7500007;18.00;Bestvi;0.007259528;2013;2479.5000126000000
DSW18018;137.7500007;18.00;Domazlice;0.007259528;2013;2479.5000126000000
DSW18019;137.7500007;18.00;Domazlice;0.007259528;2013;2479.5000126000000
DSW18020;137.7500007;18.00;Domazlice;0.007259528;2013;2479.5000126000000
PSW18019;137.7500007;18.00;Praha;0.007259528;2013;2479.5000126000000
PSW18020;137.7500007;18.00;Praha;0.007259528;2013;2479.5000126000000
PSW18021;137.7500007;18.00;Praha;0.007259528;2013;2479.5000126000000
PSW18022;137.7500007;18.00;Praha;0.007259528;2013;2479.5000126000000
PSW21034;137.7500007;21.00;Praha;0.007259528;2013;2892.7500147000000
45B15;144.00;15.00;Bestvi;0.006944444;2012;2160.0000000000000
46B15;144.00;15.00;Bestvi;0.006944444;2012;2160.0000000000000
86P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
87P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
88P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
89P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
90P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
91P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
92P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
93P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
94P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
95P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
96P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
97P15;144.00;15.00;Praha;0.006944444;2012;2160.0000000000000
BSW18020;154.25;18.00;Bestvi;0.006482982;2013;2776.5000000000000
BSW18021;154.25;18.00;Bestvi;0.006482982;2013;2776.5000000000000
BSW18022;154.25;18.00;Bestvi;0.006482982;2013;2776.5000000000000
BSW18023;154.25;18.00;Bestvi;0.006482982;2013;2776.5000000000000
KSW18004;154.25;18.00;Klatovy;0.006482982;2013;2776.5000000000000
KSW18005;154.25;18.00;Klatovy;0.006482982;2013;2776.5000000000000
PSW18027;154.25;18.00;Praha;0.006482982;2013;2776.5000000000000
PSW18028;154.25;18.00;Praha;0.006482982;2013;2776.5000000000000
PSW18029;154.25;18.00;Praha;0.006482982;2013;2776.5000000000000
BSW18024;155.00;18.00;Bestvi;0.006451613;2013;2790.0000000000000
BSW18025;155.00;18.00;Bestvi;0.006451613;2013;2790.0000000000000
DSW18005;155.00;18.00;Domazlice;0.006451613;2013;2790.0000000000000
DSW18006;155.00;18.00;Domazlice;0.006451613;2013;2790.0000000000000
KSW18002;155.00;18.00;Klatovy;0.006451613;2013;2790.0000000000000
KSW18006;155.00;18.00;Klatovy;0.006451613;2013;2790.0000000000000
PSW18012;155.00;18.00;Praha;0.006451613;2013;2790.0000000000000
PSW21039;155.00;21.00;Praha;0.006451613;2013;3255.0000000000000
KSW1801006;155.5;18.00;Klatovy;0.006430868;2013;2799.0000000000000
PSW21013;155.5;21.00;Praha;0.006430868;2013;3265.5000000000000
PSW21025;156.75;21.00;Praha;0.006379585;2013;3291.7500000000000
BSW15008;157.00;15.00;Bestvi;0.006369427;2013;2355.0000000000000
BSW15009;157.00;15.00;Bestvi;0.006369427;2013;2355.0000000000000
BSW15010;157.00;15.00;Bestvi;0.006369427;2013;2355.0000000000000
PSW15016;157.00;15.00;Praha;0.006369427;2013;2355.0000000000000
BSW15006;157.0000007;15.00;Bestvi;0.006369427;2013;2355.0000105000000
BSW15007;157.0000007;15.00;Bestvi;0.006369427;2013;2355.0000105000000
DSW18015;158.25;18.00;Domazlice;0.006319115;2013;2848.5000000000000
PSW18016;158.25;18.00;Praha;0.006319115;2013;2848.5000000000000
KSW18012;158.5;18.00;Klatovy;0.006309148;2013;2853.0000000000000
KSW18013;158.5;18.00;Klatovy;0.006309148;2013;2853.0000000000000
KSW18008;158.75;18.00;Klatovy;0.006299213;2013;2857.5000000000000
BSW18033;160.5;18.00;Bestvi;0.00623053;2013;2889.0000000000000
BSW18034;160.5;18.00;Bestvi;0.00623053;2013;2889.0000000000000
BSW18010;162.875;18.00;Bestvi;0.006139678;2013;2931.7500000000000
BSW15001;162.8750007;15.00;Bestvi;0.006139678;2013;2443.1250105000000
BSW15004;178.5000007;15.00;Bestvi;0.005602241;2013;2677.5000105000000
BSW15005;178.5000007;15.00;Bestvi;0.005602241;2013;2677.5000105000000
PSW15008;178.5000007;15.00;Praha;0.005602241;2013;2677.5000105000000
PSW15009;178.5000007;15.00;Praha;0.005602241;2013;2677.5000105000000
PSW1803005;179.00;18.00;Praha;0.005586592;2013;3222.0000000000000
PSW15001;180.00;15.00;Praha;0.005555556;2013;2700.0000000000000
PSW15002;180.00;15.00;Praha;0.005555556;2013;2700.0000000000000
PSW15003;180.00;15.00;Praha;0.005555556;2013;2700.0000000000000
BSW18019;180.7500007;18.00;Bestvi;0.005532503;2013;3253.5000126000000
PSW18024;180.7500007;18.00;Praha;0.005532503;2013;3253.5000126000000
PSW18025;180.7500007;18.00;Praha;0.005532503;2013;3253.5000126000000
PSW18026;180.7500007;18.00;Praha;0.005532503;2013;3253.5000126000000
PSW15005;181.5;15.00;Praha;0.005509642;2013;2722.5000000000000
BSW15002;181.8750007;15.00;Bestvi;0.005498282;2013;2728.1250105000000
BSW18018;181.8750007;18.00;Bestvi;0.005498282;2013;3273.7500126000000
BSW18018;181.8750007;18.00;Bestvi;0.005498282;2013;3273.7500126000000
PSW15004;181.8750007;15.00;Praha;0.005498282;2013;2728.1250105000000
PSW18023;181.8750007;18.00;Praha;0.005498282;2013;3273.7500126000000
PSW15010;185.0000007;15.00;Praha;0.005405405;2013;2775.0000105000000
68P15;192.00;15.00;Praha;0.005208333;2012;2880.0000000000000
69P15;192.00;15.00;Praha;0.005208333;2012;2880.0000000000000
BSW15003;205.5;15.00;Bestvi;0.00486618;2013;3082.5000000000000
PSW15006;205.5;15.00;Praha;0.00486618;2013;3082.5000000000000
PSW15007;205.5;15.00;Praha;0.00486618;2013;3082.5000000000000
PSW15012;208.5;15.00;Praha;0.004796163;2013;3127.5000000000000
136P15;216.00;15.00;Praha;0.00462963;2012;3240.0000000000000
137P15;216.00;15.00;Praha;0.00462963;2012;3240.0000000000000
PSW15011;230.5000007;15.00;Praha;0.004338395;2013;3457.5000105000000
PSW15013;233.0000007;15.00;Praha;0.004291845;2013;3495.0000105000000
PSW15014;233.0000007;15.00;Praha;0.004291845;2013;3495.0000105000000
PSW15015;233.0000007;15.00;Praha;0.004291845;2013;3495.0000105000000
100P15;240.00;15.00;Praha;0.004166667;2012;3600.0000000000000
10B15;288.00;15.00;Bestvi;0.003472222;2012;4320.0000000000000
