No.;FAM;ROD;DRUH;LOKALITA;STATE/PROV;ZEME;CMP;CMP2;DEN_POC;MES_POC;ROK_POC;DEN_KON;MES_KON;ROK_KON;POCET_M;POCET_F;BIOTOP;METRU_OD;METRU_DO;METODA_SB;LEG;COLL;DET;ROK;REV;ROK;ZDROJ;POZN.;lat;long
19465;Leiodidae;Sciodrepoides;watsoni;25 km ESE Rize, S. Captampaºa;;Turkey;;;2;8;2006;;;;;4;mixed forest;690;;;V. Assing;J. Cooter (Hereford);J. Rùžièka;2010;;;PC;;40D56M33.6S;40D46M18S
19466;Leiodidae;Sciodrepoides;watsoni;25 km ESE Rize, S. Captampaºa;;Turkey;;;2;8;2006;;;;;1;mixed forest;690;;;V. Assing;J. Rùžièka;J. Rùžièka;2010;;;PC;;40D56M33.6S;40D46M18S
15402;Leiodidae;Sciodrepoides;watsoni;Samsun, 41 km W Samsun, 27 km S Bafra;;Turkey;;;21;7;2008;;;;1;;;220;;;M. Schülke;M. Schülke;J. Rùžièka;2009;;;PC;;41D18M55S;35D50M51S
18372;Leiodidae;Sciodrepoides;watsoni;jud. Mehedinþi, Orºova env., Mt. Alion, SW slope, above L. Portile de Fier;;Romania;;;11;10;2007;5;7;2009;2;2;Acantho-Quercetum;140;;trap with mushroom extract and red wine;Gy. Makranczy;Mus. Budapest;J. Rùžièka;2009;;;PC;;44D43M02S;22D25M43S
18370;Leiodidae;Sciodrepoides;watsoni;jud. Harghita, Munþii Gurghiu Mts, 6.5 km NE Liban, Pasul ªikas (Libán-tetö), forest at p. Senetea;;Romania;;;10;8;2009;;;;1;2;woods around meadow;1010;;;Gy. Makranczy;Mus. Budapest;J. Rùžièka;2009;;;PC;;46D34M53S;25D32M52S
18510;Leiodidae;Sciodrepoides;watsoni;Kärnten, Villach;;Austria;;;8;5;2007;28;6;2007;;1;Napoleonwiese, Stieleiche;520;;Malaise trap;Mairhuber;E. Holzer (Anger);J. Rùžièka;2009;;;PC;;46D35M00S;13D49M00S
18511;Leiodidae;Sciodrepoides;watsoni;Kärnten, Wolfsberg, Priel;;Austria;;;25;6;2007;23;8;2007;;1;Urbani Eiche, Stieleiche;480;;pitfall trap;Mairhuber;E. Holzer (Anger);J. Rùžièka;2009;;;PC;;46D50M00S;14D50M00S
18508;Leiodidae;Sciodrepoides;watsoni;Kärnten,  Bad St. Leonhard;;Austria;;;25;6;2007;23;8;2007;2;;Paracelsus-Buche;820;;Malaise trap;Mairhuber;E. Holzer (Anger);J. Rùžièka;2009;;;PC;;46D56M00S;14D48M00S
18509;Leiodidae;Sciodrepoides;watsoni;Kärnten,  Bad St. Leonhard;;Austria;;;7;5;2007;25;6;2007;;1;Paracelsus-Buche;820;;Kreutzfensterfalle;Mairhuber;E. Holzer (Anger);J. Rùžièka;2009;;;PC;;46D56M00S;14D48M00S
18512;Leiodidae;Sciodrepoides;watsoni;Kärnten,  Bad St. Leonhard;;Austria;;;7;5;2007;25;6;2007;2;3;Paracelsus-Buche;820;;Malaise trap;Mairhuber;E. Holzer (Anger);J. Rùžièka;2009;;;PC;;46D56M00S;14D48M00S
21105;Leiodidae;Sciodrepoides;watsoni;Oedt, Fissgraben;Steiermark;Austria;;;19;6;2012;;;;;1;;300;;pitfall trap;E. Holzer;E. Holzer (Anger);J. Rùžièka;2013;;;PC;;46D56M00S;15D53M00S
21106;Leiodidae;Sciodrepoides;watsoni;Oedt, Fissgraben;Steiermark;Austria;;;19;7;2012;;;;;1;;300;;pitfall trap;E. Holzer;E. Holzer (Anger);J. Rùžièka;2013;;;PC;;46D56M00S;15D53M00S
21104;Leiodidae;Sciodrepoides;watsoni;Feldbach distr., Kornberg, Meissel Teiche;Steiermark;Austria;;;19;7;2012;;;;2;2;;290;;pitfall trap;E. Holzer;E. Holzer (Anger);J. Rùžièka;2013;;;PC;;46D58M00S;15D52M00S
22784;Leiodidae;Sciodrepoides;watsoni;Tauplitz, Kulm, Auen;Liezen District;Austria;;;20;6;2006;;;;;1;Latschenhochmoor;824;;;Paill;E. Holzer (Anger);J. Rùžièka;2015;;;PC;;47D33M00S;14D00M00S
16643;Leiodidae;Sciodrepoides;watsoni;Marz;;Austria;;;18;4;2006;;;;1;6;;300;;;P. Zabransky;P. Zabransky;J. Rùžièka;2006;;;Chol9;;47D43M27S;16D26M00S
18368;Leiodidae;Sciodrepoides;watsoni;Györ-M.-S. m., 1 km N Nagybajcs;;Hungary;;;27;5;2008;11;6;2008;1;1;;110;;pitfall trap;Gy. Makranczy;Mus. Budapest;J. Rùžièka;2009;;;PC;;47D46M34S;17D40M47S
16665;Leiodidae;Sciodrepoides;watsoni;Muráò env., 2 km NE;;Slovakia;7286;;4;7;2006;;;;1;;Fagetum;550;;;S. Benedikt;V. Benedikt (Plzeò);J. Rùžièka;2007;;;Chol9;;49D22M34S; 16D45M27S
20065;Leiodidae;Sciodrepoides;watsoni;Písek env., Vráž, Landa pond;Bohemia;Czech Republic;6550;;19;6;2010;25;6;2010;;1;university camp;400;;pitfall trap;V. Vrabec;V. Vrabec;J. Rùžièka;2011;;;PC;;49D24M11S;14D07M16S
21077;Leiodidae;Sciodrepoides;watsoni;Železné hory PLA, Chuchel, Chuchelská stráò Nat. Monument;Bohemia;Czech Republic;6159;;29;4;2010;;;;1;1;;;;;T. Kopecký;T. Kopecký (Hradec Králové);J. Rùžièka;2013;;;PC;;49D48M30S;15D37M38S
21075;Leiodidae;Sciodrepoides;watsoni;Heømanùv Mìstec-Bažantnice;Bohemia;Czech Republic;6060a;;9;6;2009;;;;;1;at night ;;;;T. Kopecký;T. Kopecký (Hradec Králové);J. Rùžièka;2013;;;PC;;49D57M35S;15D40M09S
21076;Leiodidae;Sciodrepoides;watsoni;Heømanùv Mìstec-Bažantnice;Bohemia;Czech Republic;6060a;;2;7;2009;;;;1;1;at night ;;;;T. Kopecký;T. Kopecký (Hradec Králové);J. Rùžièka;2013;;;PC;;49D57M35S;15D40M09S
18733;Leiodidae;Sciodrepoides;watsoni;2 km SW Oøech;Bohemia;Czech Republic;5951d;;12;6;2006;19;6;2006;5;3;abandoned field;360;;unbaited pitfall trap;M. Knapp;M. Knapp (Praha);J. Rùžièka;2010;;;PC;;50D00M09S;14D16M46S
21319;Leiodidae;Sciodrepoides;watsoni;Kunìtická hora Hill;Bohemia;Czech Republic;5960;;18;4;2008;28;4;2008;;1;;;;Malaise trap;B. Mocek;Mus. Hradec Králové;J. Rùžièka;2014;;;PC;;50D04M50S;15D48M54S
21320;Leiodidae;Sciodrepoides;watsoni;Kunìtická hora Hill;Bohemia;Czech Republic;5960;;19;6;2008;3;7;2008;1;1;;;;Malaise trap;B. Mocek;Mus. Hradec Králové;J. Rùžièka;2014;;;PC;;50D04M50S;15D48M54S
21078;Leiodidae;Sciodrepoides;watsoni;Straèov;Bohemia;Czech Republic;5659;;24;9;2009;;;;;1;;;;pitfall trap;T. Kopecký;T. Kopecký (Hradec Králové);J. Rùžièka;2013;;;PC;;50D18M03S;15D38M26S
20973;Leiodidae;Sciodrepoides;watsoni;Libèeves;Bohemia;Czech Republic;5549;;23;4;2012;18;5;2012;;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D26M31.0S;13D50M09.7S
20969;Leiodidae;Sciodrepoides;watsoni;Libèeves;Bohemia;Czech Republic;5549;;23;4;2012;18;5;2012;1;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D26M31.8S;13D50M10.1S
20988;Leiodidae;Sciodrepoides;watsoni;Libèeves;Bohemia;Czech Republic;5549;;21;8;2012;20;9;2012;;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D26M31.8S;13D50M10.1S
20981;Leiodidae;Sciodrepoides;watsoni;Jablonec;Bohemia;Czech Republic;5548;;23;4;2012;18;5;2012;;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M18.1S;13D48M11.2S
21011;Leiodidae;Sciodrepoides;watsoni;Jablonec;Bohemia;Czech Republic;5548;;19;6;2012;23;7;2012;;2;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M18.1S;13D48M11.2S
20996;Leiodidae;Sciodrepoides;watsoni;Jablonec;Bohemia;Czech Republic;5548;;19;6;2012;23;7;2012;1;;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M25.0S;13D47M57.8S
20979;Leiodidae;Sciodrepoides;watsoni;Hoøenec;Bohemia;Czech Republic;5548;;23;4;2012;18;5;2012;1;;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M51.4S;13D48M31.2S
20989;Leiodidae;Sciodrepoides;watsoni;Hoøenec;Bohemia;Czech Republic;5548;;23;4;2012;18;5;2012;;3;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M51.9S;13D49M11.4S
20999;Leiodidae;Sciodrepoides;watsoni;Hoøenec;Bohemia;Czech Republic;5548;;19;6;2012;23;7;2012;;2;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M52.3S;13D49M10.9S
20965;Leiodidae;Sciodrepoides;watsoni;Hoøenec;Bohemia;Czech Republic;5548;;23;4;2012;18;5;2012;1;;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M52.8S;13D49M10.9S
21019;Leiodidae;Sciodrepoides;watsoni;Mìrunice;Bohemia;Czech Republic;5548;;19;6;2012;23;7;2012;1;3;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D28M05.1S;13D49M45.7S
21014;Leiodidae;Sciodrepoides;watsoni;Mìrunice;Bohemia;Czech Republic;5548;;18;5;2012;19;6;2012;2;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D28M05.9S;13D49M46.2S
21008;Leiodidae;Sciodrepoides;watsoni;Mìrunice;Bohemia;Czech Republic;5548;;18;5;2012;19;6;2012;1;2;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D28M09.5S;13D49M51.3S
4884;Leiodidae;Sciodrepoides;watsoni;CHKO Broumovsko, Rožmitál;Bohemia;Czech Republic;5364;;21;6;2000;;;;1;1;quarry;560;;;B. Mocek;M. Mikát;J. Rùžièka;2003;;;Chol6;;50D37M00S;16D22M00S
;;Sciodrepoides;watsoni;Raná;Bohemia;Czech Republic;;;15;4;2012;12;5;2012;;;;;;pitfall trap;;;;;;;;;50.4110347;13.7751325
;;Sciodrepoides;watsoni;Praha 6, Sedlec env.;Bohemia;Czech Republic;;;15;4;2012;12;5;2012;;;;;;pitfall trap;;;;;;;;;50.1288686;14.3946561
;;Sciodrepoides;watsoni;Praha 6, Sedlec env.;Bohemia;Czech Republic;;;15;4;2013;12;5;2013;;;;;;pitfall trap;;;;;;;;;50.1288686;14.3946561
;;Sciodrepoides;watsoni;Bìstvina;Bohemia;Czech Republic;;;;;2012;;;2012;;;;;;pitfall trap;;;;;;;;;49.8311261;15.5797678
;;Sciodrepoides;watsoni;Bìstvina;Bohemia;Czech Republic;;;;;2013;;;2013;;;;;;pitfall trap;;;;;;;;;49.8311261;15.5797678
;;Sciodrepoides;watsoni;Domažlice;Bohemia;Czech Republic;;;28;4;2013;12;5;2013;;;;;;pitfall trap;;;;;;;;;49.4298514;12.8926858
;;Sciodrepoides;watsoni;Klatovy;Bohemia;Czech Republic;;;14;4;2013;28;4;2013;;;;;;pitfall trap;;;;;;;;;49.367055;13.3101694
